Follower Timeouts, Cumulative Percent, Time to elect Leader
12-24,0.892500,51.715136
12-24,0.893500,51.730871
12-24,0.894500,52.122116
12-24,0.895500,52.279949
12-24,0.896500,52.289963
12-24,0.897500,52.335024
12-24,0.898500,52.342176
12-24,0.899500,52.361012
12-24,0.900500,53.045034
12-24,0.901500,53.241968
12-24,0.902500,53.268194
12-24,0.903500,53.282976
12-24,0.904500,53.318977
12-24,0.905500,53.514957
12-24,0.906500,53.593874
12-24,0.907500,54.006815
12-24,0.908500,54.214001
12-24,0.909500,54.250002
12-24,0.910500,54.275990
12-24,0.911500,54.403067
12-24,0.912500,54.416180
12-24,0.913500,54.610968
12-24,0.914500,55.107117
12-24,0.915500,55.120945
12-24,0.916500,55.325031
12-24,0.917500,55.329800
12-24,0.918500,55.520058
12-24,0.919500,55.644035
12-24,0.920500,55.645943
12-24,0.921500,55.696011
12-24,0.922500,55.732965
12-24,0.923500,55.962801
12-24,0.924500,56.379080
12-24,0.925500,56.883097
12-24,0.926500,57.417870
12-24,0.927500,57.621002
12-24,0.928500,57.751894
12-24,0.929500,58.471918
12-24,0.930500,59.396982
12-24,0.931500,60.063839
12-24,0.932500,60.086012
12-24,0.933500,60.574055
12-24,0.934500,60.986042
12-24,0.935500,61.003923
12-24,0.936500,61.857939
12-24,0.937500,62.430143
12-24,0.938500,62.450171
12-24,0.939500,63.225985
12-24,0.940500,63.543797
12-24,0.941500,63.776970
12-24,0.942500,64.033031
12-24,0.943500,64.468861
12-24,0.944500,64.794064
12-24,0.945500,64.855814
12-24,0.946500,65.253973
12-24,0.947500,65.890074
12-24,0.948500,65.935135
12-24,0.949500,66.189051
12-24,0.950500,66.756964
12-24,0.951500,67.099094
12-24,0.952500,67.146063
12-24,0.953500,67.891121
12-24,0.954500,68.065882
12-24,0.955500,68.068981
12-24,0.956500,68.552971
12-24,0.957500,68.570137
12-24,0.958500,68.726063
12-24,0.959500,69.571972
12-24,0.960500,69.766998
12-24,0.961500,69.782972
12-24,0.962500,70.038795
12-24,0.963500,70.441961
12-24,0.964500,70.693970
12-24,0.965500,71.093798
12-24,0.966500,71.119070
12-24,0.967500,71.434021
12-24,0.968500,71.489096
12-24,0.969500,71.685076
12-24,0.970500,72.290182
12-24,0.971500,72.347164
12-24,0.972500,72.406054
12-24,0.973500,73.137045
12-24,0.974500,73.987007
12-24,0.975500,75.377941
12-24,0.976500,75.700998
12-24,0.977500,76.078892
12-24,0.978500,78.372955
12-24,0.979500,79.472065
12-24,0.980500,79.530001
12-24,0.981500,80.595970
12-24,0.982500,81.318140
12-24,0.983500,81.619978
12-24,0.984500,82.329988
12-24,0.985500,82.700968
12-24,0.986500,83.451986
12-24,0.987500,85.710049
12-24,0.988500,86.612940
12-24,0.989500,86.796045
12-24,0.990500,86.907864
12-24,0.991500,88.361025
